target_fee_M,bar_beta_opt,bar_star_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0.0,0.87,0.8700000000000002,1.971705188009985,-14.372431043000306,18.907225875703176,246.99974391545953
0.25,0.88,0.8800000000000001,2.2222960884681537,-13.119281440399622,17.452646048626985,227.9999038548312
0.5,0.89,0.8900000000000002,2.3921878851523264,-11.895711417814647,15.998060518168813,208.99999760890955
0.75,0.9,0.9000000000000001,2.4882114743841464,-10.699220214336936,14.5434747399452,189.99990476544872
1.0,0.9,0.9000000000000001,2.794052949211875,-10.586514814141726,14.542562452994211,189.99992574584783
1.25,0.91,0.9100000000000003,2.7870888778416307,-9.428365076047381,13.088888849742368,170.9999480740884
1.5,0.91,0.9100000000000003,3.0505647284185886,-9.331189324602086,13.0879757163234,170.9999073239475
1.75,0.92,0.9200000000000005,2.9495349224390455,-8.207524009517003,11.634302744908624,151.99987661223128
2.0,0.92,0.9200000000000005,3.1777331539220572,-8.12386955189478,11.634302668152419,151.99980494483935
2.25,0.93,0.9300000000000005,2.9879799140915293,-7.0321410996292615,10.179718105147355,132.99999370435077
2.5,0.93,0.9300000000000005,3.1834351543032593,-6.960489609426388,10.17971794065352,132.99995154731155
2.75,0.93,0.9300000000000005,3.3753742660187633,-6.890126864407569,10.179717353034484,132.99992983678663
3.0,0.93,0.9300000000000005,3.5622558748796647,-6.821029525091736,10.178804370601235,132.99992984441536
3.25,0.9400000000000001,0.9400000000000001,3.239359890895292,-5.778698421715622,8.725132181171343,113.99997206191479
3.5,0.9400000000000001,0.9400000000000001,3.400039290010653,-5.719795285261924,8.725131986322998,113.99995376515146
3.75,0.9400000000000001,0.9400000000000001,3.558251365353473,-5.66179682383718,8.72513198631121,113.99995376515146
