target_m_comp,bar_beta_opt,bar_star_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0,1.0,1.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0,0.0
2,0.99,0.9899999999999999,0.015788936928882037,-0.8922681380237911,4.368792968035986,210.84355616439154
3,1.0,1.0,0.0,0.0,0.0,0.0
4,0.99,0.9899999999999999,0.23810364559560476,-0.7280952507149627,4.849755760618304,136.76243819496332
5,0.98,0.98,0.043988964297093605,-2.068854250100001,10.710791762923616,535.7876178635678
6,1.0,1.0,0.0,0.0,0.0,0.0
7,0.99,0.9899999999999999,0.0226918223225884,-0.9582291972420893,5.196216508762545,179.251447330901
8,1.0,1.0,0.0,0.0,0.0,0.0
9,0.99,0.9899999999999999,0.13835545369742658,-0.8816272755675421,5.5850119693288365,217.04511650821982
10,1.0,1.0,0.0,0.0,0.0,0.0
11,1.0,1.0,0.0,0.0,0.0,0.0
12,1.0,1.0,0.0,0.0,0.0,0.0
13,1.0,1.0,0.0,0.0,0.0,0.0
14,1.0,0.9179217470089318,-0.12019617547426772,-0.10335348274411625,0.0,-1.3562563479216794
15,1.0,1.0,0.0,0.0,0.0,0.0
16,1.0,1.0,0.0,0.0,0.0,0.0
17,1.0,1.0,0.0,0.0,0.0,0.0
18,1.0,1.0,0.0,0.0,0.0,0.0
19,1.0,1.0,0.0,0.0,0.0,0.0
20,0.99,0.9899999999999999,0.025938043300113126,-0.9368369528913987,6.440950398568274,203.2605753165874
