target_base_k,bar_beta_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0.2,0.92,2.7208519301404364,-8.292939735799045,11.636350119317008,151.9998510812204
0.4,0.91,2.916871819831892,-9.331188746196146,13.0115647325221,170.99988525419596
0.6,0.91,3.017520973913825,-9.331188745674307,13.068815205069864,170.99988524717386
0.8,0.91,3.0471394901412387,-9.331189316484192,13.085645769794276,170.99990695824326
1.0,0.91,3.042924708556788,-9.331188753886764,13.08362512228204,170.9998857016391
1.2,0.91,3.0505647284185886,-9.331189324602086,13.0879757163234,170.9999073239475
1.4,0.91,3.0307795331973253,-9.331189302972499,13.078491160573854,170.99990702910577
1.6,0.91,3.0362305960720564,-9.331189303638785,13.081589612036831,170.99990706158448
1.8,0.91,2.9612099304093227,-9.33118958778894,13.04558592360078,170.9999273455696
2.0,0.91,2.961220974168199,-9.331189588525072,13.045592209590083,170.99992737861606
2.2,0.91,2.961329386823294,-9.331189418066536,13.045662946123441,170.99991234473893
2.4,0.91,2.9805066297987066,-9.331189420367291,13.056575723821755,170.9999124493465
2.6,0.91,2.7512439357004363,-9.331189603732513,12.94610538682078,170.99992815903644
2.8,0.91,2.751337349823127,-9.33118947644635,12.946158571124801,170.9999264784891
